name,path
"バーチャルウェーブ","virtual"
"バイトちゃん","baitochan"
"パイ投げ倶楽部","piethrowing"
"ハイパーエッジ","hyperedge"
"HYPER240","hyper240"
"Pile Driver","piledriver"
"PileDriverZ","piledriverz"
"バズーカ","bazooka"
"バッカス","bakkasu"
"撥水発汗","hassui"
"ハッスルガール","hustlegirl"
"HAPPY FISH","happy"
"ばっふぁろー","buffalo"
"バディ","badi"
"バトル","battle"
"バニラ","vanilla"
"バブル","bubble"
"ハヤブサ","hayabusa"
"パラダイステレビ","paradisetv"
"パラダイスビデオ","paradise"
"パラドックス","paradox"
"ハリケーン","hurricane"
"BALTAN","baltan"
"パワークリエイト","powercreate"
"BANQUISH","banquish"
"Hunter","hunter"
"パンちゃり","panchari"
"PANDORA","pandora"
"BUMPエンターテイメント","bump"
"パンプスプランニング","pumps"
"バンプフレイヤ","vamp"
"ぴあす","pierce"
"VENUS","venus"
"PFC","pfc"
"ビースバルプロモーション","bsubaru"
"ピーターズ","peters"
"BTC.TV","btctv"
"BBBOYS","bbboys"
"B+B VIDEOS","bbvideos"
"HERO","hero"
"ピエロ","pierrot"
"ピクシースマイル","pixiesmile"
"美少年出版社","bishonen"
"ビッグモーカル","bigmorkal"
"ビデオ・インターナショナル","videointer"
"人妻援護会","hitoduma"
"人妻日記","hitodumanikki"
"人妻の壺","hitotumatubo"
"美仁留の館","vinyl"
"37℃","37c"
"ヒビノ","hibino"
"100人","100nin"
"100％ハメ撮り！","100hame"
"ピュアネスプラネット","pureness"
"Believe","believe"
"PINKARK","pinkark"
"PINK DOLL","pinkdoll"
"VinVin.ch","vinvin"
"First Star","firststar"
"ファーストビジョン","first"
"ファーストレディ69","firstlady"
"FAFA","fafa"
"Fascinating Bondage","fbondage"
"Femme Fatale","femmefatale"
"V&amp;Rプロダクツ","vrproducts"
"V&amp;Rプロデュース","vrproduce"
"V&amp;Rプランニング","vr"
"V-Studio","vstudio"
"VTV","vtv"
"風雲児","fuunji"
"BOOTS","boots"
"ブーツの館","bootsyakata"
"POOLCLUB ENTERTAINMENT","poolclub"
"Face Press","facepress"
"ふぇち工房","fetikoubou"
"フェ血ス","fetis"
"フェチムエンターテイメント","desir"
"Fetish Japan","fetishjapan"
"FETISH BONES","fetish"
"フェティッシュワールド","fetishworld"
"フォーディメンション","dimension"
"不二企画","fuji"
"踏みつけガールズ","fumitsukegirls"
"未来（フューチャー）","jfuture"
"プライムウェイ","primeway"
"ブラインド・シティー","blind"
"Platinum","mplatinum"
"BLACK MARKET","blackmarket"
"フラット","flatc"
"ブラッドJ","bradj"
"プラネットプラス","planetplus"
"プラム","plum"
"フリーダム","freedom"
"フリーライド","freeride"
"プリズムビデオ","prism"
"ブリット","bullitt"
"BLUE EYES","blueeyes"
"フルーツ","fruits"
"フルセイル","fullsail"
"プレジャー","pleasure"
"プレステージ","prestige"
"PROJECT DIAMOND","projectd"
"ブロンドピンク","pink"
"平成ロマンポルノ","heisei"
"ベイビーエンターテイメント","baby"
"ペニCAN","penican"
"へりぽビデオ","helipo"
"ベルイマン","bman"
"変幻餌罪","hengenjizai"
"変態志向","hentai"
"BoinBB.com","boinbb"
"BOUKEN GORILLA","gorilla"
"Boys Star Movie","bsmov"
"ほたるいか","hotaruika"
"ぼたん劇場","botan"
"ぽちゃカワ.com","pochakawa"
"ぽちゃパラ","pochapara"
"ホットエンターテイメント","hot"
"ホットスパイス","hotspice"
"BODY","body"
"BodyZone","bodyzone"
"BOMP","bomp"
"ボリューミー","volumy"
"ボレロ&amp;マーラー","bolero"
"White Ghetto","wghetto"
"WHITE BEAR","whitebear"
