name,path
"カーニバル","carnival"
"Girls and B","girlsandb"
"ガールズスタイル","girlsstyle"
"GIRL's BLUE","girls"
"楓","kaede"
"学園舎","gakuensya"
"革命","kakumei"
"赫夜姫映像","kaguya"
"笠倉出版社","kasakura"
"火星魂","kasei"
"カマタ映像","kamataeizou"
"神威企画","kamuikikaku"
"亀","kame"
"カレス・コミュニケーションズ","caress"
"姦姦倶楽部","kankan"
"監禁恥育","kankin"
"関西マニア倶楽部","kansai"
"官能映像舎","kannou"
"甘美会FemDomWorld","kanbikai"
"姦乱者","kanransya"
"韓流エロス","kanryue"
"ギガ","giga"
"危機に陥った女たち","distress"
"紀州書店","kisyu"
"北川プロ","kitagawapro"
"奇譚クラブ","kitan"
"鬼畜外伝","kichiku"
"GagPara","gagpara"
"GARCON","garcon"
"ギャロップ","gallop"
"キャンドゥ","cando"
"QH映像","qheizo"
"キリン堂","kirin"
"Qapple","qapple"
"クイーンズバーン","queensburn"
"クインズビデオ","queens"
"くすぐリングス","kusugurings"
"クソミル","kusomiru"
"グラスウォール","grass"
"クラスタープロダクション","klaster"
"GRAB","grab"
"グラマラスキャンディ","glamorous"
"CREEP","creep"
"GreeeN apple","greenapple"
"グリーンベル","greenbell"
"クリスタル映像","crystal"
"グリップAV","gripav"
"CRAZY MANIA","crazy"
"グレイズ","glayz"
"クローズマーケット","closemarket"
"グローバルメディアエンタテインメント","global"
"グローリークエスト","glory"
"群雄社","gunyusha"
"Gay制作委員会","gayseisaku"
"ゲインコーポレーション","gain"
"KEU","keu"
"KTファクトリー","ktfactory"
"ケー・トライブ","ktribe"
"Kplus","kplus"
"激クラッシュ ふみ潰され隊","gekicrush"
"激弾カーニバル","gekidan"
"幻奇","genki"
"GEN’s LABO","genslabo"
"現代写楽","sharaku"
"ゲンマ","genma"
"CORE","core"
"恋する花嫁","hanayome"
"光夜蝶","koyacho"
"五右衛門","goemon"
"ゴーゴーズ","gogos"
"コージィ","kojy"
"ココアソフト","cocoa"
"コスモス映像","cosmos"
"小林興業","kobayashi"
"ご無体ドキュメント","gomutai"
"COLT","colt"
"コンテンツアウェイ","contentsaway"
"コンテンツパートナーズ","cpartners"
"コンバットゾーン","combatzone"
